id,catalogue_page_title,catalogue_name,permutation_summary,ordering_code,product_type,product_description,stauff_groups,din_groups,thread_code,thread,size_d1,modifier,material_code,material_description,notes,imported_at
1,STAUFF Catalogue – Page 51,"Bolts and Screws (AS, IS) — Heavy Series (DIN 3015, Part 2)",112 ordering-code permutations,AS-M10x45-W1,AS,Hexagon Head Bolt (DIN 931/933 or ANSI/ASME B18.2.1),3S,1,M,Metric ISO,M10x45,—,W1,"Carbon Steel, uncoated",,2026-06-01T13:54:04.983780+00:00
2,STAUFF Catalogue – Page 51,"Bolts and Screws (AS, IS) — Heavy Series (DIN 3015, Part 2)",112 ordering-code permutations,AS-M10x45-W3,AS,Hexagon Head Bolt (DIN 931/933 or ANSI/ASME B18.2.1),3S,1,M,Metric ISO,M10x45,—,W3,"Carbon Steel, zinc/nickel-plated",,2026-06-01T13:54:04.983780+00:00
3,STAUFF Catalogue – Page 51,"Bolts and Screws (AS, IS) — Heavy Series (DIN 3015, Part 2)",112 ordering-code permutations,AS-M10x45-W4,AS,Hexagon Head Bolt (DIN 931/933 or ANSI/ASME B18.2.1),3S,1,M,Metric ISO,M10x45,—,W4,"Stainless Steel V2A (1.4301/1.4305, AISI 304/303)",,2026-06-01T13:54:04.983780+00:00
4,STAUFF Catalogue – Page 51,"Bolts and Screws (AS, IS) — Heavy Series (DIN 3015, Part 2)",112 ordering-code permutations,AS-M10x45-W5,AS,Hexagon Head Bolt (DIN 931/933 or ANSI/ASME B18.2.1),3S,1,M,Metric ISO,M10x45,—,W5,"Stainless Steel V4A (1.4401/1.4571, AISI 316/316 Ti)",,2026-06-01T13:54:04.983780+00:00
5,STAUFF Catalogue – Page 51,"Bolts and Screws (AS, IS) — Heavy Series (DIN 3015, Part 2)",112 ordering-code permutations,AS-3/8-16UNCx1-3/4-W1,AS,Hexagon Head Bolt (DIN 931/933 or ANSI/ASME B18.2.1),3S,1,U,Unified UNC,3/8-16UNCx1-3/4,—,W1,"Carbon Steel, uncoated",,2026-06-01T13:54:04.983780+00:00
6,STAUFF Catalogue – Page 51,"Bolts and Screws (AS, IS) — Heavy Series (DIN 3015, Part 2)",112 ordering-code permutations,AS-3/8-16UNCx1-3/4-W3,AS,Hexagon Head Bolt (DIN 931/933 or ANSI/ASME B18.2.1),3S,1,U,Unified UNC,3/8-16UNCx1-3/4,—,W3,"Carbon Steel, zinc/nickel-plated",,2026-06-01T13:54:04.983780+00:00
7,STAUFF Catalogue – Page 51,"Bolts and Screws (AS, IS) — Heavy Series (DIN 3015, Part 2)",112 ordering-code permutations,AS-3/8-16UNCx1-3/4-W4,AS,Hexagon Head Bolt (DIN 931/933 or ANSI/ASME B18.2.1),3S,1,U,Unified UNC,3/8-16UNCx1-3/4,—,W4,"Stainless Steel V2A (1.4301/1.4305, AISI 304/303)",,2026-06-01T13:54:04.983780+00:00
8,STAUFF Catalogue – Page 51,"Bolts and Screws (AS, IS) — Heavy Series (DIN 3015, Part 2)",112 ordering-code permutations,AS-3/8-16UNCx1-3/4-W5,AS,Hexagon Head Bolt (DIN 931/933 or ANSI/ASME B18.2.1),3S,1,U,Unified UNC,3/8-16UNCx1-3/4,—,W5,"Stainless Steel V4A (1.4401/1.4571, AISI 316/316 Ti)",,2026-06-01T13:54:04.983780+00:00
9,STAUFF Catalogue – Page 51,"Bolts and Screws (AS, IS) — Heavy Series (DIN 3015, Part 2)",112 ordering-code permutations,AS-M10x60-W1,AS,Hexagon Head Bolt (DIN 931/933 or ANSI/ASME B18.2.1),4S,2,M,Metric ISO,M10x60,—,W1,"Carbon Steel, uncoated",,2026-06-01T13:54:04.983780+00:00
10,STAUFF Catalogue – Page 51,"Bolts and Screws (AS, IS) — Heavy Series (DIN 3015, Part 2)",112 ordering-code permutations,AS-M10x60-W3,AS,Hexagon Head Bolt (DIN 931/933 or ANSI/ASME B18.2.1),4S,2,M,Metric ISO,M10x60,—,W3,"Carbon Steel, zinc/nickel-plated",,2026-06-01T13:54:04.983780+00:00
11,STAUFF Catalogue – Page 51,"Bolts and Screws (AS, IS) — Heavy Series (DIN 3015, Part 2)",112 ordering-code permutations,AS-M10x60-W4,AS,Hexagon Head Bolt (DIN 931/933 or ANSI/ASME B18.2.1),4S,2,M,Metric ISO,M10x60,—,W4,"Stainless Steel V2A (1.4301/1.4305, AISI 304/303)",,2026-06-01T13:54:04.983780+00:00
12,STAUFF Catalogue – Page 51,"Bolts and Screws (AS, IS) — Heavy Series (DIN 3015, Part 2)",112 ordering-code permutations,AS-M10x60-W5,AS,Hexagon Head Bolt (DIN 931/933 or ANSI/ASME B18.2.1),4S,2,M,Metric ISO,M10x60,—,W5,"Stainless Steel V4A (1.4401/1.4571, AISI 316/316 Ti)",,2026-06-01T13:54:04.983780+00:00
13,STAUFF Catalogue – Page 51,"Bolts and Screws (AS, IS) — Heavy Series (DIN 3015, Part 2)",112 ordering-code permutations,AS-3/8-16UNCx2-1/4-W1,AS,Hexagon Head Bolt (DIN 931/933 or ANSI/ASME B18.2.1),4S,2,U,Unified UNC,3/8-16UNCx2-1/4,—,W1,"Carbon Steel, uncoated",,2026-06-01T13:54:04.983780+00:00
14,STAUFF Catalogue – Page 51,"Bolts and Screws (AS, IS) — Heavy Series (DIN 3015, Part 2)",112 ordering-code permutations,AS-3/8-16UNCx2-1/4-W3,AS,Hexagon Head Bolt (DIN 931/933 or ANSI/ASME B18.2.1),4S,2,U,Unified UNC,3/8-16UNCx2-1/4,—,W3,"Carbon Steel, zinc/nickel-plated",,2026-06-01T13:54:04.983780+00:00
15,STAUFF Catalogue – Page 51,"Bolts and Screws (AS, IS) — Heavy Series (DIN 3015, Part 2)",112 ordering-code permutations,AS-3/8-16UNCx2-1/4-W4,AS,Hexagon Head Bolt (DIN 931/933 or ANSI/ASME B18.2.1),4S,2,U,Unified UNC,3/8-16UNCx2-1/4,—,W4,"Stainless Steel V2A (1.4301/1.4305, AISI 304/303)",,2026-06-01T13:54:04.983780+00:00
16,STAUFF Catalogue – Page 51,"Bolts and Screws (AS, IS) — Heavy Series (DIN 3015, Part 2)",112 ordering-code permutations,AS-3/8-16UNCx2-1/4-W5,AS,Hexagon Head Bolt (DIN 931/933 or ANSI/ASME B18.2.1),4S,2,U,Unified UNC,3/8-16UNCx2-1/4,—,W5,"Stainless Steel V4A (1.4401/1.4571, AISI 316/316 Ti)",,2026-06-01T13:54:04.983780+00:00
17,STAUFF Catalogue – Page 51,"Bolts and Screws (AS, IS) — Heavy Series (DIN 3015, Part 2)",112 ordering-code permutations,AS-M10x70-W1,AS,Hexagon Head Bolt (DIN 931/933 or ANSI/ASME B18.2.1),5S,3,M,Metric ISO,M10x70,—,W1,"Carbon Steel, uncoated",,2026-06-01T13:54:04.983780+00:00
18,STAUFF Catalogue – Page 51,"Bolts and Screws (AS, IS) — Heavy Series (DIN 3015, Part 2)",112 ordering-code permutations,AS-M10x70-W3,AS,Hexagon Head Bolt (DIN 931/933 or ANSI/ASME B18.2.1),5S,3,M,Metric ISO,M10x70,—,W3,"Carbon Steel, zinc/nickel-plated",,2026-06-01T13:54:04.983780+00:00
19,STAUFF Catalogue – Page 51,"Bolts and Screws (AS, IS) — Heavy Series (DIN 3015, Part 2)",112 ordering-code permutations,AS-M10x70-W4,AS,Hexagon Head Bolt (DIN 931/933 or ANSI/ASME B18.2.1),5S,3,M,Metric ISO,M10x70,—,W4,"Stainless Steel V2A (1.4301/1.4305, AISI 304/303)",,2026-06-01T13:54:04.983780+00:00
20,STAUFF Catalogue – Page 51,"Bolts and Screws (AS, IS) — Heavy Series (DIN 3015, Part 2)",112 ordering-code permutations,AS-M10x70-W5,AS,Hexagon Head Bolt (DIN 931/933 or ANSI/ASME B18.2.1),5S,3,M,Metric ISO,M10x70,—,W5,"Stainless Steel V4A (1.4401/1.4571, AISI 316/316 Ti)",,2026-06-01T13:54:04.983780+00:00
21,STAUFF Catalogue – Page 51,"Bolts and Screws (AS, IS) — Heavy Series (DIN 3015, Part 2)",112 ordering-code permutations,AS-3/8-16UNCx2-3/4-W1,AS,Hexagon Head Bolt (DIN 931/933 or ANSI/ASME B18.2.1),5S,3,U,Unified UNC,3/8-16UNCx2-3/4,—,W1,"Carbon Steel, uncoated",,2026-06-01T13:54:04.983780+00:00
22,STAUFF Catalogue – Page 51,"Bolts and Screws (AS, IS) — Heavy Series (DIN 3015, Part 2)",112 ordering-code permutations,AS-3/8-16UNCx2-3/4-W3,AS,Hexagon Head Bolt (DIN 931/933 or ANSI/ASME B18.2.1),5S,3,U,Unified UNC,3/8-16UNCx2-3/4,—,W3,"Carbon Steel, zinc/nickel-plated",,2026-06-01T13:54:04.983780+00:00
23,STAUFF Catalogue – Page 51,"Bolts and Screws (AS, IS) — Heavy Series (DIN 3015, Part 2)",112 ordering-code permutations,AS-3/8-16UNCx2-3/4-W4,AS,Hexagon Head Bolt (DIN 931/933 or ANSI/ASME B18.2.1),5S,3,U,Unified UNC,3/8-16UNCx2-3/4,—,W4,"Stainless Steel V2A (1.4301/1.4305, AISI 304/303)",,2026-06-01T13:54:04.983780+00:00
24,STAUFF Catalogue – Page 51,"Bolts and Screws (AS, IS) — Heavy Series (DIN 3015, Part 2)",112 ordering-code permutations,AS-3/8-16UNCx2-3/4-W5,AS,Hexagon Head Bolt (DIN 931/933 or ANSI/ASME B18.2.1),5S,3,U,Unified UNC,3/8-16UNCx2-3/4,—,W5,"Stainless Steel V4A (1.4401/1.4571, AISI 316/316 Ti)",,2026-06-01T13:54:04.983780+00:00
25,STAUFF Catalogue – Page 51,"Bolts and Screws (AS, IS) — Heavy Series (DIN 3015, Part 2)",112 ordering-code permutations,AS-M12x100-W1,AS,Hexagon Head Bolt (DIN 931/933 or ANSI/ASME B18.2.1),6S,4,M,Metric ISO,M12x100,—,W1,"Carbon Steel, uncoated",,2026-06-01T13:54:04.983780+00:00
26,STAUFF Catalogue – Page 51,"Bolts and Screws (AS, IS) — Heavy Series (DIN 3015, Part 2)",112 ordering-code permutations,AS-M12x100-W3,AS,Hexagon Head Bolt (DIN 931/933 or ANSI/ASME B18.2.1),6S,4,M,Metric ISO,M12x100,—,W3,"Carbon Steel, zinc/nickel-plated",,2026-06-01T13:54:04.983780+00:00
27,STAUFF Catalogue – Page 51,"Bolts and Screws (AS, IS) — Heavy Series (DIN 3015, Part 2)",112 ordering-code permutations,AS-M12x100-W4,AS,Hexagon Head Bolt (DIN 931/933 or ANSI/ASME B18.2.1),6S,4,M,Metric ISO,M12x100,—,W4,"Stainless Steel V2A (1.4301/1.4305, AISI 304/303)",,2026-06-01T13:54:04.983780+00:00
28,STAUFF Catalogue – Page 51,"Bolts and Screws (AS, IS) — Heavy Series (DIN 3015, Part 2)",112 ordering-code permutations,AS-M12x100-W5,AS,Hexagon Head Bolt (DIN 931/933 or ANSI/ASME B18.2.1),6S,4,M,Metric ISO,M12x100,—,W5,"Stainless Steel V4A (1.4401/1.4571, AISI 316/316 Ti)",,2026-06-01T13:54:04.983780+00:00
29,STAUFF Catalogue – Page 51,"Bolts and Screws (AS, IS) — Heavy Series (DIN 3015, Part 2)",112 ordering-code permutations,AS-7/16-14UNCx4-W1,AS,Hexagon Head Bolt (DIN 931/933 or ANSI/ASME B18.2.1),6S,4,U,Unified UNC,7/16-14UNCx4,—,W1,"Carbon Steel, uncoated",,2026-06-01T13:54:04.983780+00:00
30,STAUFF Catalogue – Page 51,"Bolts and Screws (AS, IS) — Heavy Series (DIN 3015, Part 2)",112 ordering-code permutations,AS-7/16-14UNCx4-W3,AS,Hexagon Head Bolt (DIN 931/933 or ANSI/ASME B18.2.1),6S,4,U,Unified UNC,7/16-14UNCx4,—,W3,"Carbon Steel, zinc/nickel-plated",,2026-06-01T13:54:04.983780+00:00
