id,catalogue_name,products,product_type,permutations,imported_at
1,"Heavy Series (DIN 3015, Part 2) — Weld plates, cover plates, bolts, washers, locking plate, stacking bolt","Elongated Weld Plates (SPAL-DUEB, SPAS-DUEB)",SPAL-DUEB,100,2026-06-01T13:54:04.983780+00:00
2,"Heavy Series (DIN 3015, Part 2) — Weld plates, cover plates, bolts, washers, locking plate, stacking bolt",,SPAS-DUEB,100,2026-06-01T13:54:04.983780+00:00
3,"Heavy Series (DIN 3015, Part 2) — Weld plates, cover plates, bolts, washers, locking plate, stacking bolt","Cover Plates (DPAL, DPAS)",DPAL,53,2026-06-01T13:54:04.983780+00:00
4,"Heavy Series (DIN 3015, Part 2) — Weld plates, cover plates, bolts, washers, locking plate, stacking bolt",,DPAS,50,2026-06-01T13:54:04.983780+00:00
5,"Heavy Series (DIN 3015, Part 2) — Weld plates, cover plates, bolts, washers, locking plate, stacking bolt","Bolts and Screws (AS, IS)",AS,80,2026-06-01T13:54:04.983780+00:00
6,"Heavy Series (DIN 3015, Part 2) — Weld plates, cover plates, bolts, washers, locking plate, stacking bolt",,IS,32,2026-06-01T13:54:04.983780+00:00
7,"Heavy Series (DIN 3015, Part 2) — Weld plates, cover plates, bolts, washers, locking plate, stacking bolt","Safety Washers (SI DIN 93, SI DIN 463)",SI (DIN93),12,2026-06-01T13:54:04.983780+00:00
8,"Heavy Series (DIN 3015, Part 2) — Weld plates, cover plates, bolts, washers, locking plate, stacking bolt",,SI (DIN463),12,2026-06-01T13:54:04.983780+00:00
9,"Heavy Series (DIN 3015, Part 2) — Weld plates, cover plates, bolts, washers, locking plate, stacking bolt","Safety Locking Plate & Stacking Bolt (SIP, AF)",SIP,40,2026-06-01T13:54:04.983780+00:00
10,"Heavy Series (DIN 3015, Part 2) — Weld plates, cover plates, bolts, washers, locking plate, stacking bolt",,AF,80,2026-06-01T13:54:04.983780+00:00
26,"Heavy Series (DIN 3015, Part 2) - Weld Plate for Single Clamps (SPAL) and Double Clamps (SPAS)",Weld Plate for Single Clamps (SPAL) and Double Clamps (SPAS),SPAL,100,2026-06-01T17:10:30.661310+00:00
27,"Heavy Series (DIN 3015, Part 2) - Weld Plate for Single Clamps (SPAL) and Double Clamps (SPAS)",Weld Plate for Single Clamps (SPAL) and Double Clamps (SPAS),SPAS,100,2026-06-01T17:10:30.661310+00:00
