id,catalogue_page_title,catalogue_name,permutation_summary,ordering_code,product_type,product_description,stauff_groups,din_groups,thread_code,thread,size_d1,modifier,material_code,material_description,notes,imported_at
1,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAL-3S-W1,DPAL,Cover Plate for Single Clamps,3S,1,—,—,—,—,W1,"Carbon Steel, uncoated",,2026-06-01T13:54:04.983780+00:00
2,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAL-3S-W2,DPAL,Cover Plate for Single Clamps,3S,1,—,—,—,—,W2,"Carbon Steel, phosphated",,2026-06-01T13:54:04.983780+00:00
3,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAL-3S-W3,DPAL,Cover Plate for Single Clamps,3S,1,—,—,—,—,W3,"Carbon Steel, zinc/nickel-plated",,2026-06-01T13:54:04.983780+00:00
4,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAL-3S-W4,DPAL,Cover Plate for Single Clamps,3S,1,—,—,—,—,W4,"Stainless Steel V2A (1.4301/1.4305, AISI 304/303)",,2026-06-01T13:54:04.983780+00:00
5,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAL-3S-W5,DPAL,Cover Plate for Single Clamps,3S,1,—,—,—,—,W5,"Stainless Steel V4A (1.4401/1.4571, AISI 316/316 Ti)",,2026-06-01T13:54:04.983780+00:00
6,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAL-3S-W85,DPAL,Cover Plate for Single Clamps,3S,1,—,—,—,—,W85,Aluminium EN AW-6060,W85 (Aluminium EN AW-6060) available only for STAUFF groups 3S–5S,2026-06-01T13:54:04.983780+00:00
7,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAS-3S-W1,DPAS,Cover Plate for Double Clamps,3S,1,—,—,—,—,W1,"Carbon Steel, uncoated",,2026-06-01T13:54:04.983780+00:00
8,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAS-3S-W2,DPAS,Cover Plate for Double Clamps,3S,1,—,—,—,—,W2,"Carbon Steel, phosphated",,2026-06-01T13:54:04.983780+00:00
9,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAS-3S-W3,DPAS,Cover Plate for Double Clamps,3S,1,—,—,—,—,W3,"Carbon Steel, zinc/nickel-plated",,2026-06-01T13:54:04.983780+00:00
10,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAS-3S-W4,DPAS,Cover Plate for Double Clamps,3S,1,—,—,—,—,W4,"Stainless Steel V2A (1.4301/1.4305, AISI 304/303)",,2026-06-01T13:54:04.983780+00:00
11,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAS-3S-W5,DPAS,Cover Plate for Double Clamps,3S,1,—,—,—,—,W5,"Stainless Steel V4A (1.4401/1.4571, AISI 316/316 Ti)",,2026-06-01T13:54:04.983780+00:00
12,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAL-4S-W1,DPAL,Cover Plate for Single Clamps,4S,2,—,—,—,—,W1,"Carbon Steel, uncoated",,2026-06-01T13:54:04.983780+00:00
13,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAL-4S-W2,DPAL,Cover Plate for Single Clamps,4S,2,—,—,—,—,W2,"Carbon Steel, phosphated",,2026-06-01T13:54:04.983780+00:00
14,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAL-4S-W3,DPAL,Cover Plate for Single Clamps,4S,2,—,—,—,—,W3,"Carbon Steel, zinc/nickel-plated",,2026-06-01T13:54:04.983780+00:00
15,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAL-4S-W4,DPAL,Cover Plate for Single Clamps,4S,2,—,—,—,—,W4,"Stainless Steel V2A (1.4301/1.4305, AISI 304/303)",,2026-06-01T13:54:04.983780+00:00
16,STAUFF Catalogue – Page 50,"Cover Plates (DPAL, DPAS) — Heavy Series (DIN 3015, Part 2)",103 ordering-code permutations,DPAL-4S-W5,DPAL,Cover Plate for Single Clamps,4S,2,—,—,—,—,W5,"Stainless Steel V4A (1.4401/1.4571, AISI 316/316 Ti)",,2026-06-01T13:54:04.983780+00:00
