id,catalogue_page_title,catalogue_name,permutation_summary,ordering_code,product_type,product_description,stauff_groups,din_groups,thread_code,thread,size_d1,modifier,material_code,material_description,notes,imported_at
1,STAUFF Catalogue – Page 45,"Elongated Weld Plates (SPAL-DUEB, SPAS-DUEB) — Heavy Series (DIN 3015, Part 2)",200 ordering-code permutations,SPAL-DUEB-3S-M-W1,SPAL-DUEB,Elongated Weld Plate for Single Clamps,3S,1,M,M10,—,—,W1,"Carbon Steel, uncoated",,2026-06-01T13:54:04.983780+00:00
2,STAUFF Catalogue – Page 45,"Elongated Weld Plates (SPAL-DUEB, SPAS-DUEB) — Heavy Series (DIN 3015, Part 2)",200 ordering-code permutations,SPAL-DUEB-3S-M-W2,SPAL-DUEB,Elongated Weld Plate for Single Clamps,3S,1,M,M10,—,—,W2,"Carbon Steel, phosphated",,2026-06-01T13:54:04.983780+00:00
3,STAUFF Catalogue – Page 45,"Elongated Weld Plates (SPAL-DUEB, SPAS-DUEB) — Heavy Series (DIN 3015, Part 2)",200 ordering-code permutations,SPAL-DUEB-3S-M-W3,SPAL-DUEB,Elongated Weld Plate for Single Clamps,3S,1,M,M10,—,—,W3,"Carbon Steel, zinc/nickel-plated",,2026-06-01T13:54:04.983780+00:00
4,STAUFF Catalogue – Page 45,"Elongated Weld Plates (SPAL-DUEB, SPAS-DUEB) — Heavy Series (DIN 3015, Part 2)",200 ordering-code permutations,SPAL-DUEB-3S-M-W4,SPAL-DUEB,Elongated Weld Plate for Single Clamps,3S,1,M,M10,—,—,W4,"Stainless Steel V2A (1.4301/1.4305, AISI 304/303)",,2026-06-01T13:54:04.983780+00:00
5,STAUFF Catalogue – Page 45,"Elongated Weld Plates (SPAL-DUEB, SPAS-DUEB) — Heavy Series (DIN 3015, Part 2)",200 ordering-code permutations,SPAL-DUEB-3S-M-W5,SPAL-DUEB,Elongated Weld Plate for Single Clamps,3S,1,M,M10,—,—,W5,"Stainless Steel V4A (1.4401/1.4571, AISI 316/316 Ti)",,2026-06-01T13:54:04.983780+00:00
6,STAUFF Catalogue – Page 45,"Elongated Weld Plates (SPAL-DUEB, SPAS-DUEB) — Heavy Series (DIN 3015, Part 2)",200 ordering-code permutations,SPAL-DUEB-3S-U-W1,SPAL-DUEB,Elongated Weld Plate for Single Clamps,3S,1,U,3/8–16 UNC,—,—,W1,"Carbon Steel, uncoated",,2026-06-01T13:54:04.983780+00:00
7,STAUFF Catalogue – Page 45,"Elongated Weld Plates (SPAL-DUEB, SPAS-DUEB) — Heavy Series (DIN 3015, Part 2)",200 ordering-code permutations,SPAL-DUEB-3S-U-W2,SPAL-DUEB,Elongated Weld Plate for Single Clamps,3S,1,U,3/8–16 UNC,—,—,W2,"Carbon Steel, phosphated",,2026-06-01T13:54:04.983780+00:00
8,STAUFF Catalogue – Page 45,"Elongated Weld Plates (SPAL-DUEB, SPAS-DUEB) — Heavy Series (DIN 3015, Part 2)",200 ordering-code permutations,SPAL-DUEB-3S-U-W3,SPAL-DUEB,Elongated Weld Plate for Single Clamps,3S,1,U,3/8–16 UNC,—,—,W3,"Carbon Steel, zinc/nickel-plated",,2026-06-01T13:54:04.983780+00:00
9,STAUFF Catalogue – Page 45,"Elongated Weld Plates (SPAL-DUEB, SPAS-DUEB) — Heavy Series (DIN 3015, Part 2)",200 ordering-code permutations,SPAL-DUEB-3S-U-W4,SPAL-DUEB,Elongated Weld Plate for Single Clamps,3S,1,U,3/8–16 UNC,—,—,W4,"Stainless Steel V2A (1.4301/1.4305, AISI 304/303)",,2026-06-01T13:54:04.983780+00:00
10,STAUFF Catalogue – Page 45,"Elongated Weld Plates (SPAL-DUEB, SPAS-DUEB) — Heavy Series (DIN 3015, Part 2)",200 ordering-code permutations,SPAL-DUEB-3S-U-W5,SPAL-DUEB,Elongated Weld Plate for Single Clamps,3S,1,U,3/8–16 UNC,—,—,W5,"Stainless Steel V4A (1.4401/1.4571, AISI 316/316 Ti)",,2026-06-01T13:54:04.983780+00:00
